"id","name","neighbourhood","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","availability_365","X","Y","CategX","CategY"
20951881,"Blue room","Santo Stefano","Private room",99,1,18,"23/09/2019",0.45,363,44.49716,11.34796,"(44.496,44.498]","(44.496,44.498]"
20970442,"Corte","Santo Stefano","Entire home/apt",300,2,2,"26/09/2018",0.05,359,44.49303,11.35084,"(44.492,44.494]","(44.492,44.494]"
20989974,"Botanical Studio in Bologna's center","Santo Stefano","Entire home/apt",54,3,118,"30/06/2019",2.63,320,44.48766,11.35053,"(44.488,44.49]","(44.488,44.49]"
21018728,"Maison della Fiera","Navile","Entire home/apt",250,4,3,"08/09/2018",0.07,90,44.51302,11.35252,"(44.512,44.514]","(44.512,44.514]"
21020953,"Bibiena Lodge, modern apartment in the center","Santo Stefano","Entire home/apt",57,3,23,"26/06/2018",0.59,12,44.49655,11.35102,"(44.496,44.498]","(44.496,44.498]"
21038242,"Luminosa e silenziosa camera singola","San Donato - San Vitale","Private room",45,1,10,"13/05/2019",0.22,83,44.49206,11.37938,"(44.492,44.494]","(44.492,44.494]"
21144911,"MAISON BI-Saragozza-Breakfast in Bed","Porto - Saragozza","Private room",60,2,1,"13/03/2018",0.02,313,44.49176,11.32028,"(44.492,44.494]","(44.492,44.494]"
21172359,"Cozy Guest Room close to downtown","Santo Stefano","Entire home/apt",40,2,109,"25/10/2019",2.43,352,44.47756,11.3358,"(44.476,44.478]","(44.476,44.478]"
21181453,"Casa Bella Marconi - City Centre","Porto - Saragozza","Entire home/apt",650,1,43,"03/08/2020",1.28,0,44.4995,11.33898,"(44.498,44.5]","(44.498,44.5]"
21214025,"Historical and Luxury Apartment","Santo Stefano","Entire home/apt",67,2,26,"01/07/2019",0.64,168,44.48729,11.34209,"(44.486,44.488]","(44.486,44.488]"
21231177,"Mago Zurli' - New Apartment Full Comfort with Box","Navile","Entire home/apt",59,1,1,"15/03/2018",0.02,62,44.53279,11.34868,"(44.532,44.534]","(44.532,44.534]"
21251724,"Tellera - Casa di Ricky","Borgo Panigale - Reno","Entire home/apt",55,2,40,"16/05/2019",0.96,159,44.49985,11.29564,"(44.5,44.502]","(44.5,44.502]"
21300063,"Stanza privata vicino ospedale Sant'Orsola","Santo Stefano","Private room",35,1,8,"28/03/2018",0.18,362,44.48278,11.37232,"(44.482,44.484]","(44.482,44.484]"
21375696,"Appartamento Rialto","Santo Stefano","Entire home/apt",49,21,63,"22/06/2018",1.39,0,44.48844,11.35026,"(44.488,44.49]","(44.488,44.49]"
21378171,"private room in the very center of Bologna","Santo Stefano","Private room",21,5,32,"08/10/2020",0.84,82,44.49602,11.34741,"(44.496,44.498]","(44.496,44.498]"
21528478,"Low Cost Room In The Old City Center","Santo Stefano","Private room",29,2,0,"",NA,177,44.49569,11.34852,"(44.496,44.498]","(44.496,44.498]"
21543447,"Fast Internet Apartment - Fiera District","Navile","Entire home/apt",42,3,60,"11/05/2019",1.38,64,44.51591,11.35201,"(44.516,44.518]","(44.516,44.518]"
21631480,"HOUSE KATIA ( A DUE PASSI DA VILLA LAURA)","Savena","Entire home/apt",50,1,23,"22/06/2019",0.52,0,44.47844,11.38245,"(44.478,44.48]","(44.478,44.48]"
21720324,"Lovely 1bdr x 3 in the centre of Bologna 81903","Santo Stefano","Entire home/apt",11,1,2,"29/11/2018",0.06,1,44.48729,11.35316,"(44.486,44.488]","(44.486,44.488]"
21725278,"La tranquillità in piena città","Navile","Entire home/apt",65,3,17,"06/01/2020",0.42,317,44.51681,11.34261,"(44.516,44.518]","(44.516,44.518]"
21796782,"Loft a Bologna","Santo Stefano","Entire home/apt",44,2,48,"01/11/2020",1.18,107,44.4896,11.35345,"(44.488,44.49]","(44.488,44.49]"
21807413,"Arco del Meloncello","Porto - Saragozza","Entire home/apt",45,2,59,"27/10/2019",1.34,0,44.49011,11.30847,"(44.49,44.492]","(44.49,44.492]"
21809813,"LA MANSARDA","Navile","Entire home/apt",100,1,2,"24/09/2018",0.05,270,44.50768,11.35147,"(44.508,44.51]","(44.508,44.51]"
21833989,"CASA NORMA","Santo Stefano","Entire home/apt",30,7,76,"08/04/2019",1.73,15,44.48824,11.3522,"(44.488,44.49]","(44.488,44.49]"
21866263,"Appartamento in Centro Bologna","Santo Stefano","Entire home/apt",60,2,135,"24/06/2019",3.07,80,44.49294,11.35662,"(44.492,44.494]","(44.492,44.494]"
21887499,"Oberdan Apartment","Santo Stefano","Entire home/apt",77,2,4,"04/10/2020",0.1,338,44.49806,11.34613,"(44.498,44.5]","(44.498,44.5]"
21947539,"Mascarella Apartment","Santo Stefano","Entire home/apt",50,2,11,"27/09/2019",0.28,117,44.49768,11.3483,"(44.498,44.5]","(44.498,44.5]"
21974676,"Azeglio apartment, neighboring Piazza Maggiore","Santo Stefano","Entire home/apt",230,2,65,"05/11/2019",1.51,120,44.49447,11.34328,"(44.494,44.496]","(44.494,44.496]"
21987844,"Appartamento su due piani con affaccio sul Portico dei Servi","Santo Stefano","Entire home/apt",120,2,2,"18/03/2018",0.05,345,44.49096,11.35285,"(44.49,44.492]","(44.49,44.492]"
21993003,"UR-NEST Massarenti A","San Donato - San Vitale","Entire home/apt",1425,2,1,"30/03/2018",0.02,0,44.49336,11.38149,"(44.492,44.494]","(44.492,44.494]"
22005144,"stanza con divano letto matrimoniale Francese","Porto - Saragozza","Private room",25,1,399,"25/08/2020",9.08,308,44.49098,11.33615,"(44.49,44.492]","(44.49,44.492]"
22010810,"CENTRO DI BOLOGNA CASA VACANZE","Santo Stefano","Entire home/apt",80,1,50,"16/09/2019",1.16,30,44.50002,11.35135,"(44.5,44.502]","(44.5,44.502]"
22015080,"❋Welcome to LaCasita➺in Bologna historical centre❋","Santo Stefano","Entire home/apt",65,2,80,"03/01/2020",1.86,0,44.49487,11.35087,"(44.494,44.496]","(44.494,44.496]"
22072713,"Vicolo Ghirlanda flat  city center (1)","Porto - Saragozza","Entire home/apt",55,2,88,"10/11/2019",2.08,129,44.49561,11.34091,"(44.496,44.498]","(44.496,44.498]"
22122823,"Accogliente monolocale di Antonio","San Donato - San Vitale","Entire home/apt",54,2,42,"28/02/2020",1,162,44.49005,11.37441,"(44.49,44.492]","(44.49,44.492]"
22160205,"Casa Molina 2","San Donato - San Vitale","Entire home/apt",52,2,38,"16/02/2020",0.89,158,44.4887,11.37369,"(44.488,44.49]","(44.488,44.49]"
22260195,"Zamboni 5","Santo Stefano","Entire home/apt",80,2,36,"15/09/2019",0.88,220,44.49488,11.34717,"(44.494,44.496]","(44.494,44.496]"
22271721,"Art Nest | Nido d'arte | City Center","Santo Stefano","Entire home/apt",54,2,45,"08/07/2021",1.05,325,44.49348,11.35187,"(44.492,44.494]","(44.492,44.494]"
22352694,"Over the Rainbow! Piazza Santo Stefano Apartment!","Santo Stefano","Entire home/apt",63,2,58,"15/01/2021",1.4,139,44.4873,11.35293,"(44.486,44.488]","(44.486,44.488]"
22374747,"Mansarda La bolognesa fra centro storico e colline","Porto - Saragozza","Entire home/apt",48,1,45,"20/01/2020",1.06,97,44.4901,11.31104,"(44.49,44.492]","(44.49,44.492]"
22461202,"TINY HOUSE ingresso indipendente e parcheggio.","Navile","Entire home/apt",33,1,190,"07/11/2019",4.57,33,44.51341,11.34452,"(44.512,44.514]","(44.512,44.514]"
22461695,"IN CENTRO CITTÀ STANZA CON BAGNO PRIVATO IN CAMERA","San Donato - San Vitale","Private room",250,1,14,"15/03/2018",0.33,365,44.50026,11.35855,"(44.5,44.502]","(44.5,44.502]"
22666423,"Appartamento accogliente silenzioso in palazzo storico vicino alle Sette Chiese","Santo Stefano","Entire home/apt",90,1,128,"11/12/2019",3.06,116,44.48964,11.35041,"(44.49,44.492]","(44.49,44.492]"
22669241,"Appartamento San Luca vicino al centro e stazione","Navile","Entire home/apt",65,1,11,"31/07/2019",0.26,0,44.50884,11.34699,"(44.508,44.51]","(44.508,44.51]"
22710717,"CA’ LO SGALLO apartm. close to old city/fair dept.","Navile","Entire home/apt",85,2,18,"10/04/2019",0.43,284,44.51572,11.34242,"(44.516,44.518]","(44.516,44.518]"
22724637,"Borgo Masini Suite, Private Terrace and Garage","Santo Stefano","Entire home/apt",69,2,111,"27/10/2019",2.65,0,44.50202,11.3505,"(44.502,44.504]","(44.502,44.504]"
22754867,"Appartamento a pochi minuti dal centro","San Donato - San Vitale","Entire home/apt",229,3,2,"19/02/2018",0.05,89,44.51196,11.38611,"(44.512,44.514]","(44.512,44.514]"
22783433,"Appartamento Due Torri vicino al centro e stazione","Navile","Entire home/apt",65,1,6,"20/01/2019",0.15,0,44.50745,11.34447,"(44.506,44.508]","(44.506,44.508]"
22811622,"Orfeo18","Santo Stefano","Entire home/apt",69,2,60,"03/06/2019",1.5,203,44.48692,11.34942,"(44.486,44.488]","(44.486,44.488]"
22898253,"SAN FELICE 135 (CAMERA 2)","Porto - Saragozza","Private room",63,1,9,"12/11/2018",0.24,120,44.49837,11.32981,"(44.498,44.5]","(44.498,44.5]"
22898254,"SAN FELICE 135","Porto - Saragozza","Private room",63,1,1,"19/03/2018",0.02,128,44.49846,11.32988,"(44.498,44.5]","(44.498,44.5]"
